record_id,category,status,severity,area,reported_date,closed_date,resolution_days
SR-10001,Traffic Light,Verified,High,Brooklyn,2026-06-29,,
SR-10002,Stormwater Drain,Assigned,Medium,Waterkloof,2026-07-02,,
SR-10003,Traffic Light,Resolved,High,Pretoria CBD,2026-07-05,2026-07-06,0.8
SR-10004,Traffic Light,Resolved,Low,Waterkloof,2026-06-09,2026-06-12,2.5
SR-10005,Street Light,Resolved,Medium,Sunnyside,2026-08-13,2026-08-14,1.4
SR-10006,Stormwater Drain,Assigned,Medium,Pretoria CBD,2026-07-25,,
SR-10007,Traffic Light,Resolved,Medium,Hatfield,2026-09-15,2026-09-16,1.1
SR-10008,Traffic Light,Resolved,Low,Brooklyn,2026-07-24,2026-07-27,2.8
SR-10009,Street Light,In Progress,High,Brooklyn,2026-07-04,,
SR-10010,Street Light,Resolved,High,Hatfield,2026-09-09,2026-09-10,2.0
SR-10011,Pothole / Road Damage,Resolved,Critical,Hatfield,2026-07-04,2026-07-08,4.4
SR-10012,Street Light,Submitted,Medium,Menlo Park,2026-04-06,,
SR-10013,Pothole / Road Damage,Resolved,Low,Centurion,2026-07-25,2026-07-29,3.7
SR-10014,Road Signage,Submitted,Low,Centurion,2026-08-16,,
SR-10015,Pothole / Road Damage,Resolved,Low,Waterkloof,2026-08-09,2026-08-12,3.6
SR-10016,Pothole / Road Damage,Resolved,Low,Pretoria CBD,2026-04-19,2026-04-21,1.8
SR-10017,Traffic Light,Resolved,Medium,Pretoria CBD,2026-07-30,2026-08-03,4.0
SR-10018,Street Light,Verified,High,Hatfield,2026-03-09,,
SR-10019,Pothole / Road Damage,In Progress,Low,Soshanguve,2026-05-19,,
SR-10020,Pothole / Road Damage,In Progress,High,Centurion,2026-09-12,,
SR-10021,Street Light,Assigned,Low,Centurion,2026-08-24,,
SR-10022,Pothole / Road Damage,Assigned,Medium,Arcadia,2026-06-19,,
SR-10023,Traffic Light,Resolved,Low,Hatfield,2026-09-11,2026-09-13,1.8
SR-10024,Pothole / Road Damage,Resolved,Medium,Soshanguve,2026-05-10,2026-05-13,2.4
SR-10025,Pothole / Road Damage,In Progress,Low,Arcadia,2026-08-24,,
SR-10026,Street Light,Resolved,Low,Pretoria West,2026-03-29,2026-03-31,2.0
SR-10027,Stormwater Drain,Resolved,High,Sunnyside,2026-07-17,2026-07-20,2.6
SR-10028,Pothole / Road Damage,Assigned,Low,Centurion,2026-06-10,,
SR-10029,Pothole / Road Damage,Resolved,Low,Brooklyn,2026-06-08,2026-06-13,4.5
SR-10030,Pothole / Road Damage,Resolved,Low,Pretoria CBD,2026-08-05,2026-08-07,2.6
SR-10031,Pothole / Road Damage,Assigned,Medium,Pretoria CBD,2026-04-19,,
SR-10032,Pothole / Road Damage,Resolved,Medium,Hatfield,2026-07-11,2026-07-12,1.3
SR-10033,Traffic Light,Verified,Low,Menlo Park,2026-03-25,,
SR-10034,Street Light,Resolved,Medium,Mamelodi,2026-05-28,2026-05-31,3.0
SR-10035,Street Light,Resolved,Medium,Brooklyn,2026-06-04,2026-06-07,2.7
SR-10036,Traffic Light,Resolved,Medium,Menlo Park,2026-06-02,2026-06-03,1.0
SR-10037,Traffic Light,In Progress,Medium,Arcadia,2026-07-28,,
SR-10038,Road Signage,Resolved,Low,Centurion,2026-07-24,2026-07-26,2.4
SR-10039,Stormwater Drain,Resolved,Medium,Arcadia,2026-06-21,2026-06-23,2.1
SR-10040,Pothole / Road Damage,Resolved,High,Pretoria CBD,2026-03-13,2026-03-15,2.4
SR-10041,Street Light,Verified,Low,Pretoria CBD,2026-04-05,,
SR-10042,Traffic Light,Resolved,Medium,Mamelodi,2026-07-11,2026-07-12,1.3
SR-10043,Pothole / Road Damage,In Progress,Low,Waterkloof,2026-03-20,,
SR-10044,Pothole / Road Damage,Resolved,Medium,Waterkloof,2026-07-30,2026-08-03,4.1
SR-10045,Pothole / Road Damage,In Progress,Medium,Mamelodi,2026-08-23,,
SR-10046,Pothole / Road Damage,Resolved,Low,Pretoria CBD,2026-05-29,2026-05-31,1.8
SR-10047,Street Light,Submitted,Medium,Centurion,2026-05-08,,
SR-10048,Traffic Light,Resolved,Medium,Sunnyside,2026-08-28,2026-08-29,1.5
SR-10049,Pothole / Road Damage,Resolved,Low,Pretoria CBD,2026-07-08,2026-07-09,1.1
SR-10050,Pothole / Road Damage,Resolved,Low,Sunnyside,2026-05-17,2026-05-22,4.4
SR-10051,Stormwater Drain,Submitted,Low,Pretoria CBD,2026-03-07,,
SR-10052,Street Light,In Progress,Low,Pretoria CBD,2026-05-30,,
SR-10053,Road Signage,Resolved,Low,Mamelodi,2026-07-13,2026-07-16,3.0
SR-10054,Pothole / Road Damage,Assigned,Medium,Pretoria West,2026-03-14,,
SR-10055,Street Light,Assigned,Medium,Sunnyside,2026-03-08,,
SR-10056,Stormwater Drain,Resolved,Medium,Arcadia,2026-03-24,2026-03-25,0.7
SR-10057,Pothole / Road Damage,Resolved,Medium,Mamelodi,2026-08-30,2026-09-03,4.1
SR-10058,Pothole / Road Damage,Resolved,High,Pretoria CBD,2026-08-01,2026-08-02,0.7
SR-10059,Traffic Light,Resolved,High,Hatfield,2026-07-14,2026-07-17,2.4
SR-10060,Pothole / Road Damage,Submitted,Low,Sunnyside,2026-08-30,,
SR-10061,Pothole / Road Damage,In Progress,High,Hatfield,2026-06-06,,
SR-10062,Pothole / Road Damage,Resolved,Low,Hatfield,2026-05-06,2026-05-08,2.3
SR-10063,Traffic Light,Assigned,Low,Arcadia,2026-05-06,,
SR-10064,Pothole / Road Damage,Resolved,Medium,Sunnyside,2026-08-29,2026-08-29,0.7
SR-10065,Pothole / Road Damage,In Progress,Low,Pretoria West,2026-07-28,,
SR-10066,Street Light,Resolved,Critical,Centurion,2026-06-22,2026-06-26,4.2
SR-10067,Street Light,Resolved,Medium,Pretoria CBD,2026-06-03,2026-06-04,1.0
SR-10068,Pothole / Road Damage,Resolved,Medium,Hatfield,2026-06-28,2026-06-30,1.6
SR-10069,Street Light,Resolved,Low,Hatfield,2026-03-19,2026-03-21,1.5
SR-10070,Street Light,Resolved,Low,Pretoria West,2026-06-23,2026-06-27,3.3
SR-10071,Traffic Light,Resolved,Low,Sunnyside,2026-03-06,2026-03-07,1.2
SR-10072,Traffic Light,Resolved,Low,Sunnyside,2026-06-13,2026-06-16,3.0
SR-10073,Pothole / Road Damage,Resolved,Low,Waterkloof,2026-05-30,2026-06-01,1.5
SR-10074,Pothole / Road Damage,Resolved,Medium,Arcadia,2026-06-20,2026-06-24,3.9
SR-10075,Pothole / Road Damage,Resolved,Low,Hatfield,2026-04-04,2026-04-08,3.7
SR-10076,Pothole / Road Damage,Resolved,Medium,Centurion,2026-06-02,2026-06-05,2.9
SR-10077,Stormwater Drain,Resolved,Low,Centurion,2026-04-23,2026-04-25,2.3
SR-10078,Pothole / Road Damage,Resolved,Medium,Hatfield,2026-06-27,2026-06-30,3.0
SR-10079,Traffic Light,Resolved,High,Brooklyn,2026-09-02,2026-09-04,2.2
SR-10080,Pothole / Road Damage,Resolved,Medium,Waterkloof,2026-04-03,2026-04-04,0.7
SR-10081,Street Light,Verified,High,Hatfield,2026-06-25,,
SR-10082,Pothole / Road Damage,Resolved,Medium,Brooklyn,2026-03-07,2026-03-11,4.0
SR-10083,Pothole / Road Damage,Resolved,High,Brooklyn,2026-04-11,2026-04-16,4.6
SR-10084,Pothole / Road Damage,Resolved,Medium,Menlo Park,2026-05-02,2026-05-03,1.3
SR-10085,Pothole / Road Damage,In Progress,Low,Sunnyside,2026-08-16,,
SR-10086,Pothole / Road Damage,Resolved,Medium,Menlo Park,2026-09-14,2026-09-16,1.6
SR-10087,Traffic Light,Resolved,Medium,Pretoria CBD,2026-07-12,2026-07-14,1.8
SR-10088,Traffic Light,In Progress,Medium,Mamelodi,2026-08-26,,
SR-10089,Street Light,Resolved,High,Arcadia,2026-09-15,2026-09-18,3.3
SR-10090,Pothole / Road Damage,Submitted,Medium,Brooklyn,2026-07-12,,
SR-10091,Traffic Light,Resolved,Medium,Arcadia,2026-03-29,2026-03-31,2.2
SR-10092,Traffic Light,In Progress,High,Waterkloof,2026-04-19,,
SR-10093,Pothole / Road Damage,Resolved,Medium,Pretoria CBD,2026-07-21,2026-07-24,3.2
SR-10094,Pothole / Road Damage,Resolved,Low,Sunnyside,2026-08-17,2026-08-21,4.5
